"","soilID","domainID","plotID","collectDate","mean_cn","mean_OrgC","mean_Org13C","mean_15n","mean_N"
"1","BART_001-M","D01","BART_001",2014-08-19,26.8333333333333,9.49,-26.9,3.76666666666667,0.4
"2","BART_001-O","D01","BART_001",2014-08-19,27.875,46.875,-27.5,1,1.6825
"3","BART_002-M","D01","BART_002",2014-08-21,22.6333333333333,6.07666666666667,-26.9,5.63333333333333,0.273333333333333
"4","BART_003-M","D01","BART_003",2015-07-27,16.9666666666667,2.32333333333333,-26.5666666666667,0.366666666666667,0.14
"5","BART_003-O","D01","BART_003",2015-07-27,22.3666666666667,44.2066666666667,-28.4,0.7,1.97666666666667
"6","BART_004-M","D01","BART_004",2014-08-19,25.675,3.6675,-26.35,5.225,0.1425
"7","BART_004-O","D01","BART_004",2014-08-19,23.7,44.1566666666667,-26.7333333333333,3.83333333333333,1.87666666666667
"8","BART_005-M","D01","BART_005",2014-08-19,32.6333333333333,8.89,-26.4666666666667,6.63333333333333,0.273333333333333
"9","BART_005-O","D01","BART_005",2014-08-19,28.5,54.43,-27.0666666666667,3.43333333333333,1.95
"10","BART_006-M","D01","BART_006",2014-08-20,22.675,4.7625,-26.8,6.55,0.205
"11","BART_006-O","D01","BART_006",2014-08-20,29.25,47.45,-28,1.45,1.625
"12","BART_023-M","D01","BART_023",2014-08-19,24.3333333333333,18.1066666666667,-26.3666666666667,4.3,0.736666666666667
"13","BART_023-O","D01","BART_023",2014-08-19,23.6,48.0833333333333,-27.7333333333333,-1.3,2.05333333333333
"14","BART_024-M","D01","BART_024",2015-07-27,41.4,16.36,-31.1,0.2,0.396666666666667
"15","BART_024-O","D01","BART_024",2015-07-27,32.825,45.7675,-27.825,-3.75,1.395
"16","BART_028-M","D01","BART_028",2014-08-20,25.6333333333333,7.25666666666667,-27,2.13333333333333,0.28
"17","BART_028-O","D01","BART_028",2014-08-20,28.0333333333333,48.19,-27.8333333333333,-2,1.75333333333333
"18","BART_032-M","D01","BART_032",2014-08-21,21.9333333333333,3.92666666666667,-27.5333333333333,7.2,0.176666666666667
"19","BART_032-O","D01","BART_032",2014-08-21,27.1333333333333,43.1433333333333,-28.8,1.16666666666667,1.61
"20","BART_033-M","D01","BART_033",2014-08-20,23.3666666666667,5.77333333333333,-26.8666666666667,6.76666666666667,0.243333333333333
"21","BART_033-O","D01","BART_033",2014-08-20,29.7,48.8533333333333,-28.4,1.23333333333333,1.66
"22","BART_034-M","D01","BART_034",2014-08-20,24.075,8.3625,-27.4,5.325,0.35
"23","BART_034-O","D01","BART_034",2014-08-20,29.5333333333333,46.5333333333333,-28.3666666666667,-0.2,1.59666666666667
"24","BART_036-M","D01","BART_036",2015-07-28,23.7666666666667,5.54666666666667,-26.1666666666667,5.9,0.23
"25","BART_036-O","D01","BART_036",2015-07-28,28.4666666666667,39.71,-27.7,-0.466666666666667,1.44666666666667
"26","BART_040-M","D01","BART_040",2015-07-27,22.4666666666667,4.35666666666667,-26.8333333333333,6.1,0.19
"27","BART_040-O","D01","BART_040",2015-07-27,23.775,41.9975,-28.525,0.775,1.7675
"28","BART_042-M","D01","BART_042",2015-07-28,21.1333333333333,5.69666666666667,-30.2333333333333,4.53333333333333,0.256666666666667
"29","BART_042-O","D01","BART_042",2015-07-28,31.45,45.61,-26.95,-0.275,1.535
"30","BART_071-M","D01","BART_071",2015-07-27,31.3666666666667,5.4,-27.8333333333333,2.83333333333333,0.17
"31","BART_071-O","D01","BART_071",2015-07-27,28.0666666666667,42.17,-28.8,0.1,1.50333333333333
"32","BLAN_001-M","D02","BLAN_001",2015-07-15,11.6,1.7025,-26.975,4.2,0.145
"33","BLAN_002-M","D02","BLAN_002",2015-07-15,9.7,1.25333333333333,-26.0333333333333,4.8,0.13
"34","BLAN_003-M","D02","BLAN_003",2015-07-15,8.93333333333333,1.07333333333333,-24.6333333333333,4.96666666666667,0.116666666666667
"35","BLAN_004-M","D02","BLAN_004",2015-07-15,10,1.08,-24.7,5.13333333333333,0.106666666666667
"36","BLAN_005-M","D02","BLAN_005",2015-07-15,10.9,1.39666666666667,-26.4333333333333,3.96666666666667,0.13
"37","BLAN_007-M","D02","BLAN_007",2015-07-15,11.6,2.11666666666667,-26.9,3.73333333333333,0.183333333333333
"38","BLAN_031-M","D02","BLAN_031",2015-07-14,9.26666666666667,1.07,-23.8,6.2,0.113333333333333
"39","BLAN_032-M","D02","BLAN_032",2015-07-14,9.675,1.175,-25.325,5.325,0.12
"40","BLAN_033-M","D02","BLAN_033",2015-07-14,8.86666666666667,0.733333333333333,-23.3,5.5,0.0833333333333333
"41","BLAN_041-M","D02","BLAN_041",2015-07-14,9.63333333333333,1.21,-26.8666666666667,4.5,0.126666666666667
"42","BONA_001-M","D19","BONA_001",2019-08-30,19.05,7.2,-26.9,4.45,0.3975
"43","BONA_001-O","D19","BONA_001",2019-08-30,26.4666666666667,37.2833333333333,-28.2,2.8,1.39666666666667
"44","BONA_002-M","D19","BONA_002",2019-08-29,15.8333333333333,3.48,-26.9,2.76666666666667,0.22
"45","BONA_002-O","D19","BONA_002",2019-08-29,17.7666666666667,24.7366666666667,-27.7333333333333,1.2,1.37
"46","BONA_004-M","D19","BONA_004",2019-08-30,20.7666666666667,3.25,-26.5333333333333,4.83333333333333,0.153333333333333
"47","BONA_004-O","D19","BONA_004",2019-08-30,40.4333333333333,37.1133333333333,-28.4666666666667,1.63333333333333,0.913333333333333
"48","BONA_006-M","D19","BONA_006",2019-08-28,30.6,12.25,-25.3666666666667,1.43333333333333,0.406666666666667
"49","BONA_006-O","D19","BONA_006",2019-08-28,42.9,39.9175,-27.725,2.65,0.9325
"50","BONA_009-M","D19","BONA_009",2019-08-29,19.4333333333333,14.2166666666667,-26.5,3.63333333333333,0.71
"51","BONA_009-O","D19","BONA_009",2019-08-29,26.3666666666667,41.6966666666667,-27.8333333333333,1.56666666666667,1.58666666666667
"52","BONA_013-M","D19","BONA_013",2019-08-28,19.575,3.525,-26.75,3.625,0.1775
"53","BONA_013-O","D19","BONA_013",2019-08-28,21.2333333333333,25.8133333333333,-27.6333333333333,1.9,1.19333333333333
"54","BONA_070-M","D19","BONA_070",2019-08-26,22.2666666666667,18.3933333333333,-26.4666666666667,3.76666666666667,0.8
"55","BONA_070-O","D19","BONA_070",2019-08-26,34.5666666666667,48.25,-27.5333333333333,2.83333333333333,1.43
"56","BONA_071-M","D19","BONA_071",2019-08-26,20.5333333333333,5.72,-26.3333333333333,4.13333333333333,0.286666666666667
"57","BONA_071-O","D19","BONA_071",2019-08-26,47.2333333333333,46.92,-27.7666666666667,0.4,1.06333333333333
"58","BONA_080-M","D19","BONA_080",2019-08-26,21.05,6.375,-26.2,4.05,0.305
"59","BONA_080-M","D19","BONA_080",2019-08-27,20.8,4.04,-26.5,3.4,0.19
"60","BONA_080-O","D19","BONA_080",2019-08-26,33.15,35.8575,-27.225,2.7,1.1
"61","BONA_084-M","D19","BONA_084",2019-08-30,19.45,2.915,-27.6,4.05,0.155
"62","BONA_084-M","D19","BONA_084",2019-08-31,22.3,2.76,-27.8,4,0.12
"63","BONA_084-O","D19","BONA_084",2019-08-30,22.6,38.9,-28.35,2.55,1.715
"64","BONA_084-O","D19","BONA_084",2019-08-31,21,33.11,-28.4,2.6,1.58
"65","CLBJ_001-M","D11","CLBJ_001",2019-04-16,NA,0.1625,-19.9,5.325,0.0425
"66","CLBJ_002-M","D11","CLBJ_002",2019-04-15,NA,0.176666666666667,-25.1333333333333,3.1,0.0766666666666667
"67","CLBJ_003-M","D11","CLBJ_003",2019-04-15,NA,0.146666666666667,-24.7,4.9,0.0466666666666667
"68","CLBJ_006-M","D11","CLBJ_006",2019-04-16,NA,0.12,-22.8666666666667,3.5,0.0666666666666667
"69","CLBJ_031-M","D11","CLBJ_031",2019-04-16,NA,0.14,-21.4666666666667,4.13333333333333,0.0466666666666667
"70","CLBJ_032-M","D11","CLBJ_032",2019-04-15,NA,0.193333333333333,-19.8,5.26666666666667,0.0566666666666667
"71","CLBJ_033-M","D11","CLBJ_033",2019-04-15,NA,0.145,-24.15,3.73333333333333,0.07
"72","CLBJ_034-M","D11","CLBJ_034",2019-04-16,NA,3.52,-17.8,2.65,0.13
"73","CLBJ_038-M","D11","CLBJ_038",2019-04-16,NA,0.193333333333333,-22.4,5.1,0.07
"74","CLBJ_040-M","D11","CLBJ_040",2019-04-15,NA,0.176666666666667,-24.7,4,0.116666666666667
"75","CPER_001-M","D10","CPER_001",2014-07-15,NA,2.39333333333333,-18.1666666666667,6.36666666666667,0.12
"76","CPER_002-M","D10","CPER_002",2014-07-15,NA,0.843333333333333,-18.2333333333333,6.43333333333333,0.0766666666666667
"77","CPER_003-M","D10","CPER_003",2014-07-15,NA,0.75,-20.3,7.5,0.07
"78","CPER_003-M","D10","CPER_003",2014-07-16,NA,0.615,-20.6,5.7,0.07
"79","CPER_004-M","D10","CPER_004",2014-07-15,NA,0.776666666666667,-18.6333333333333,4.96666666666667,0.08
"80","CPER_005-M","D10","CPER_005",2014-07-17,NA,0.563333333333333,-19.7333333333333,6.4,0.0733333333333333
"81","CPER_006-M","D10","CPER_006",2014-07-15,NA,0.826666666666667,-19.1333333333333,7.5,0.09
"82","CPER_007-M","D10","CPER_007",2014-07-17,NA,0.72,-19.7666666666667,5.63333333333333,0.08
"83","CPER_045-M","D10","CPER_045",2014-07-16,NA,0.693333333333333,-19.5,6.7,0.0666666666666667
"84","CPER_046-M","D10","CPER_046",2014-07-16,NA,0.8,-18.6666666666667,7.13333333333333,0.08
"85","CPER_047-M","D10","CPER_047",2014-07-17,NA,0.66,-20.1333333333333,7.06666666666667,0.0733333333333333
"86","DCFS_003-M","D09","DCFS_003",2019-07-31,NA,2.83,-22.4,4.9125,0.4075
"87","DCFS_004-M","D09","DCFS_004",2019-07-29,NA,1.92,-21.3666666666667,4.6,0.323333333333333
"88","DCFS_006-M","D09","DCFS_006",2019-07-29,NA,2.91666666666667,-21.9666666666667,4.98333333333333,0.44
"89","DCFS_007-M","D09","DCFS_007",2019-07-22,NA,2.07666666666667,-24.0333333333333,4.06666666666667,0.36
"90","DCFS_008-M","D09","DCFS_008",2019-07-22,NA,3.54333333333333,-22.6,5.43333333333333,0.336666666666667
"91","DCFS_009-M","D09","DCFS_009",2019-07-29,NA,2.22333333333333,-20.9666666666667,3.55,0.156666666666667
"92","DCFS_062-M","D09","DCFS_062",2019-07-24,NA,2.70333333333333,-23.1666666666667,4.3,0.36
"93","DCFS_063-M","D09","DCFS_063",2019-07-24,NA,3.1025,-25.95,3.675,0.32
"94","DCFS_065-M","D09","DCFS_065",2019-07-24,NA,1.67333333333333,-23.2,4.03333333333333,0.28
"95","DCFS_067-M","D09","DCFS_067",2019-07-24,NA,1.01666666666667,-21.8666666666667,3.88333333333333,0.29
"96","DEJU_001-M","D19","DEJU_001",2018-06-19,22.1,4.97333333333333,-26.4,4.56666666666667,0.223333333333333
"97","DEJU_001-O","D19","DEJU_001",2018-06-19,25.9,19.3233333333333,-26.4333333333333,2.5,0.74
"98","DEJU_002-M","D19","DEJU_002",2018-06-19,19.725,1.4225,-26.6,4.975,0.07
"99","DEJU_002-O","D19","DEJU_002",2018-06-19,26.2333333333333,17.4933333333333,-27.8,2.56666666666667,0.67
"100","DEJU_006-M","D19","DEJU_006",2018-06-18,20.1333333333333,5.06333333333333,-25.1666666666667,3.9,0.236666666666667
"101","DEJU_006-O","D19","DEJU_006",2018-06-18,28.7666666666667,22.34,-25.8333333333333,0.2,0.76
"102","DEJU_009-M","D19","DEJU_009",2018-06-19,17.3,2.425,-26.1,4.1,0.14
"103","DEJU_009-M","D19","DEJU_009",2018-06-20,21.7,8.29,-26.1,5.3,0.38
"104","DEJU_009-O","D19","DEJU_009",2018-06-19,23.0666666666667,25.1666666666667,-26.5666666666667,1.93333333333333,1.10666666666667
"105","DEJU_014-M","D19","DEJU_014",2018-06-18,18.7,3.24333333333333,-26.4666666666667,4.76666666666667,0.173333333333333
"106","DEJU_014-O","D19","DEJU_014",2018-06-18,24.2666666666667,21.4966666666667,-27.6666666666667,2.03333333333333,0.83
"107","DEJU_015-M","D19","DEJU_015",2018-06-20,17.2333333333333,1.32333333333333,-26.4,4.53333333333333,0.08
"108","DEJU_015-O","D19","DEJU_015",2018-06-20,22.55,20.58,-27.4,2.625,0.935
"109","DEJU_045-M","D19","DEJU_045",2018-06-21,19.7,2.07666666666667,-25.9666666666667,5.16666666666667,0.103333333333333
"110","DEJU_045-O","D19","DEJU_045",2018-06-21,24.0333333333333,11.25,-27.1666666666667,2.2,0.473333333333333
"111","DEJU_046-M","D19","DEJU_046",2018-06-21,22,3.8375,-26.5,4.775,0.17
"112","DEJU_046-O","D19","DEJU_046",2018-06-21,24.4333333333333,14.99,-27.1666666666667,2.96666666666667,0.613333333333333
"113","DEJU_047-M","D19","DEJU_047",2018-06-21,20.2333333333333,3.53666666666667,-26.9,4.16666666666667,0.176666666666667
"114","DEJU_047-O","D19","DEJU_047",2018-06-21,37.15,35.4725,-27.65,1.275,0.9525
"115","DEJU_048-M","D19","DEJU_048",2018-06-21,22.7666666666667,3.79333333333333,-26.6333333333333,4.4,0.166666666666667
"116","DEJU_048-O","D19","DEJU_048",2018-06-21,41.9,16.2833333333333,-27.7,2.46666666666667,0.39
"117","DELA_001-M","D08","DELA_001",2015-08-17,12.325,0.735,-27.45,6,0.0625
"118","DELA_001-M","D08","DELA_001",2019-06-26,11.975,0.4475,-26.775,5.075,0.0375
"119","DELA_002-M","D08","DELA_002",2015-08-17,9.63333333333333,1.24333333333333,-26.2333333333333,7.56666666666667,0.13
"120","DELA_002-M","D08","DELA_002",2019-06-24,10.1333333333333,1.38333333333333,-25.8666666666667,7.6,0.13
"121","DELA_003-M","D08","DELA_003",2015-08-17,10.4666666666667,1.77666666666667,-26.3333333333333,6.83333333333333,0.17
"122","DELA_003-M","D08","DELA_003",2019-06-26,11.0666666666667,1.96333333333333,-26.6333333333333,6.7,0.176666666666667
"123","DELA_004-M","D08","DELA_004",2015-08-19,10.1333333333333,1.38666666666667,-25.8,6.43333333333333,0.136666666666667
"124","DELA_004-M","D08","DELA_004",2019-06-24,10.9666666666667,1.66333333333333,-25.8,6.56666666666667,0.15
"125","DELA_005-M","D08","DELA_005",2015-08-19,11.2,0.98,-26.8666666666667,5.43333333333333,0.0866666666666667
"126","DELA_005-M","D08","DELA_005",2019-06-24,11.1666666666667,0.956666666666667,-26.7,5.56666666666667,0.0866666666666667
"127","DELA_014-M","D08","DELA_014",2015-08-17,11.9666666666667,2.07,-25.9333333333333,6.8,0.173333333333333
