plotID,horizon,sandTotal,siltTotal,clayTotal,bulkDensThirdBar,bulkDensOvenDry,waterRetentionThirdBar,caco3Conc,gypsumConc,phCacl2,phH2o,bSatx,brSatx,caSatx,clSatx,co3Satx,ecSatp,flSatx,waterSatx,hco3Sx,kSatx,mgSatx,naSatx,no2Satx,no3Satx,pSatx,phSp,so4Satx,alKcl,feKcl,mnKcl,alSatCecd33,carbonTot,nitrogenTot,ctonRatio,estimatedOC,alOxalate,feOxalate,mnOxalate,pOxalate,siOxalate
ABBY_001,M,35.3,34.099999999999994,30.6,0.89,0.955,38.599999999999994,NaN,NaN,4.95,5.949999999999999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7999999999999998,NaN,42.2,56.5,46.05,2.5999999999999996,17.5,46,1.01,0.54,1303.15,273.75,0.2
ABBY_001,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.9,6.1,NaN,0,1.9,0.6,0,0.44,0.5,708.6,1.3,1.3,0.9,0.4,0,0,0.7,5.3,0.2,0.4,NaN,439.2,1,372,11.1,33,372,0.35,0.27,990.9,430.6,0.06
ABBY_002,M,31.8,40.349999999999994,27.85,0.76,0.86,43.2,NaN,NaN,4.7,5.4,NaN,0,2.5,0.4,0,0.52,0,111.1,0.2,0.2,1.1,0.4,0,3.8,0,4.9,0,4.25,NaN,32.6,71,106.25,4.800000000000001,22,106.5,1.27,0.69,943.25,413.4,0.19
ABBY_002,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.4,4.7,NaN,0,4.1,0.4,0,0.93,0.1,586,0.3,1,1.5,0.4,0,5.3,0.5,4.5,0.3,0.9,NaN,521.7,5,448,13,35,448,0.25,0.2,798.3,436.2,0.02
ABBY_007,M,34.75,41.65,23.6,NaN,NaN,NaN,NaN,NaN,4.9,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,36.8,66.5,66.15,2.95,22,66,1.5350000000000001,0.62,1429.2,465.2,0.36
ABBY_007,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.3,4.8,NaN,0,3,0.6,0,0.56,0.4,574.9,0.6,1.7,1.3,0.3,0,0.1,2,4.5,0.1,0.7,NaN,489,2,484.2,12.7,38,484,0.14,0.09,615.6,312.6,0.02
ABBY_008,M,32.65,33.849999999999994,33.5,0.925,0.99,33.1,NaN,NaN,4.7,5.1,NaN,0,2.5,0.5,0,0.6,0,110.6,0.3,0.4,1.6,0.5,0,4.3,0,5,0,2.1500000000000004,NaN,57.7,51,57.35,3.55,16.5,57.5,1.0950000000000002,0.51,1815.75,226.6,0.215
ABBY_008,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,5.3,NaN,0,2.8,0.6,0,0.85,0.1,510.7,0.9,1.3,1.6,0.4,0,4.1,0,5.3,0.4,0.2,NaN,241.6,1,265.7,11.6,23,266,0.85,0.47,1614.7,414.2,0.2
ABBY_009,M,33.5,43.1,23.4,0.99,1.04,41.3,NaN,NaN,4.766666666666667,5.433333333333334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4333333333333336,NaN,39.4,55.666666666666664,47.36666666666667,2.6333333333333333,16.666666666666668,47.333333333333336,1.1766666666666667,0.66,1944.9333333333334,438.0333333333333,0.25
ABBY_011,M,29.8,39.25,30.95,0.935,1.03,42.05,NaN,NaN,4.800000000000001,5.300000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.35,NaN,59,57,50.55,3.2,15.5,50.5,1.075,0.495,2388.85,152.75,0.19
ABBY_016,M,18.75,39.1,42.15,1.09,1.19,41.7,NaN,NaN,4.5,4.9,NaN,0,2.4,0.3,0,0.56,0,82.5,0.1,0.3,1.4,0.4,0,4.4,0,4.7,0,4.65,NaN,32.05,82,33.25,2.05,16,33,0.7949999999999999,0.505,935.4,89.1,0.15500000000000003
ABBY_016,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.6,5.2,NaN,0,3.8,0.7,0,0.76,0.3,532.5,2.1,1.2,1.3,0.5,0,0.1,0.2,5,0.7,0.7,NaN,386.2,2,336.3,12.8,26,336,0.32,0.23,1285.2,190.1,0.05
ABBY_017,M,35.55,34.25,30.2,1.05,1.16,36.6,NaN,NaN,4.45,4.8,NaN,0,3.05,0.4,0,0.54,0,113.95,0.05,0.3,1.2000000000000002,0.35,0,4.199999999999999,0,4.85,0,12.05,NaN,94.95,42.5,81.94999999999999,3.95,20.5,82,1.185,0.75,1909.3,184.5,0.16499999999999998
ABBY_017,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4,4.9,NaN,0,1.5,0.6,0,0.42,0.1,402.4,0.5,0.5,0.6,0.7,0,1.3,0,4.5,0.2,4.3,NaN,275.4,14,386.9,10.2,38,387,0.42,0.31,757.4,154.9,0.06
ABBY_019,M,30.933333333333334,36.93333333333333,32.13333333333333,1.0350000000000001,1.105,30.1,NaN,NaN,4.833333333333333,5.4,NaN,0,2,0.4,0,0.52,0,99.3,0,0.7,1.3,0.4,0,3.9,0,5.1,0,1.8,NaN,34.46666666666667,54.666666666666664,44.6,3,13.333333333333334,44.666666666666664,0.9366666666666666,0.5733333333333334,1346.6333333333334,285.5,0.16999999999999998
ABBY_020,M,39.099999999999994,38.25,22.65,1.1,1.18,37.4,NaN,NaN,5.05,5.65,NaN,0,2,0.4,0,0.47,0,117.3,0.3,0.5,1.2,0.4,0,3.3,0,5.4,0,1.3,NaN,44.2,41,69.9,3.85,18,70,1.5350000000000001,0.785,2736.8999999999996,368.15,0.395
ABBY_020,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5.3,5.9,NaN,0,3.7,0.4,0,0.54,1.8,624.6,1.9,1.4,1.4,0.3,0,0.1,0.5,5.5,0.3,NaN,NaN,NaN,NaN,354.2,12.9,27,354,0.57,0.45,2218.2,520.1,0.14
ABBY_021,M,36.9,33.9,29.200000000000003,1.02,1.08,47.9,NaN,NaN,4.85,5.45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5,NaN,40.95,38,75.55,3.9,19.5,75.5,1.22,0.5900000000000001,1446.9,202.75,0.22999999999999998
ABBY_021,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.6,5.3,NaN,0,1.4,0.7,0,0.36,0.1,532.3,1,0.9,0.4,0.6,0,0.1,0.4,5,0.2,0.4,NaN,654,1,430,15.8,27,430,0.36,0.2,1058,346.2,0.06
ABBY_023,M,25.15,41.3,33.55,1.025,1.135,39.1,NaN,0,4.75,5.15,NaN,0,4.8,0.3,0,0.96,0,99.8,0,0.5,3,0.4,0,8.2,0,4.9,0,2.75,NaN,73.9,44,55.35,3.75,14.5,55,0.935,0.635,2383.3,202.4,0.14500000000000002
ABBY_026,M,21.833333333333332,42.8,35.36666666666667,1.0866666666666667,1.25,33.36666666666667,NaN,NaN,4.533333333333333,5.2,NaN,0,1.8,0.4,0,0.42,0,118.1,0.1,0.3,1,0.5,0,2.7,0,4.9,0.1,6.666666666666667,NaN,94.56666666666666,38.666666666666664,46.9,3.466666666666667,12.666666666666666,47,0.6799999999999999,0.6533333333333333,2121.0333333333333,147.76666666666665,0.060000000000000005
ABBY_028,M,27.35,42.349999999999994,30.299999999999997,NaN,NaN,NaN,NaN,NaN,4.7,5.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5,NaN,57.7,36,67.45,4.25,16,67.5,1.125,0.6950000000000001,2597.6000000000004,325.79999999999995,0.2
ABBY_063,M,34.45,40,25.549999999999997,NaN,NaN,NaN,NaN,NaN,4.75,5.300000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3,NaN,55.5,40.5,67.2,3.3499999999999996,19.5,67.5,1.03,0.525,1876.8,330.5,0.22999999999999998
ABBY_063,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.6,5,NaN,0,4,0.5,0,0.88,0.1,486,0.3,1.2,2.3,0.3,0,6.5,0,4.7,0.1,0.9,NaN,378.9,3,285.4,9.3,31,285,0.67,0.37,1536.6,435.5,0.13
BARR_001,O,10.9,56,33.1,NaN,NaN,NaN,NaN,0,4.2,5.1,NaN,0,0.3,0.8333333333333334,0,0.21333333333333335,0,1298.6999999999998,0.26666666666666666,0.2,0.26666666666666666,1.1,0,0.03333333333333333,0,5.1,0.3333333333333333,3.6,NaN,36.4,18,388.9,16.833333333333336,23,388.6666666666667,0.10666666666666666,1.27,73.23333333333333,8.433333333333334,0.013333333333333334
BARR_004,M,46.7,31.4,21.9,NaN,NaN,NaN,NaN,NaN,4.7,5.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,137.8,5,35.9,2.6,14,36,0.11,0.71,258.3,76.2,0.02
BARR_004,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,319.3,2,352.1,14.3,25,352,0.16,0.95,427.9,171.8,0.01
BARR_005,M,62.8,24.2,13,NaN,NaN,NaN,NaN,0,5.3,5.8,NaN,0,2.4,1.5,0,0.67,0,127.2,2.4,0.1,2.6,1.6,0,0,0,6,3.7,NaN,NaN,NaN,NaN,119.8,6.5,18,120,0.07,0.51,35.5,26.6,0.02
BARR_005,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.8,5.4,NaN,0,0.9,1.8,0,0.43,0,366.2,0.5,0.1,1.1,1.6,0,0,0,5.4,1.3,0.1,NaN,33.5,0,320.9,19.7,16,321,0.15,0.88,29.3,0,0.01
BARR_008,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0.3,1.5,0,0.27,0,1837,0.2,0.3,0.3,1.3,0,0.2,0,5.3,0.3,0.3,NaN,27.1,1,471.4,16.8,28,471,0.11,0.66,35.8,6,0
BARR_011,O,54.9,26,19.1,NaN,NaN,NaN,NaN,0,5.199999999999999,6,NaN,0,0.35,1,0,0.255,0,658.9499999999999,0.3,0.05,0.55,1.35,0,0,0,4.9,0.55,0.8,NaN,32.1,11,212.15,10.15,20,212.5,0.09,0.855,40.8,54.2,0.005
BARR_012,M,33.1,45.1,21.8,NaN,NaN,NaN,NaN,NaN,4.4,5.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2,NaN,21.1,10,74.9,5,15,75,0.12,0.87,23.1,226.3,0
BARR_012,O,32.8,42.6,24.6,NaN,NaN,NaN,NaN,0,4.4,5.15,NaN,0,1.35,1.05,0,0.39,0.1,318.55,0.4,0.1,1.1,1.4,0,0,0,5,0.85,0.9,NaN,32.65,6.5,151.6,9.75,15,151.5,0.18,1.1800000000000002,62.699999999999996,317.9,0
BARR_014,O,47.7,32.1,20.2,NaN,NaN,NaN,NaN,0,4.65,5.25,NaN,0,0.8500000000000001,3.8499999999999996,0,0.55,0,295.55,1.5999999999999999,0.05,1.15,2.45,0,0,0,5.3,0.6,0.15000000000000002,NaN,31.85,1,192.65,10.950000000000001,18,192.5,0.09,0.96,41.75,136.55,0
BARR_015,O,37.8,40,22.2,NaN,NaN,NaN,NaN,NaN,4.6,5.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5,NaN,7.5,4,85.8,5.7,15,86,0.12,1.07,23.9,220.5,0
BARR_018,M,32.8,36.5,30.7,NaN,NaN,NaN,NaN,NaN,4.5,5.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7,NaN,94.2,7,38.9,3.1,13,39,0.1,0.72,87,312.7,0
BARR_018,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,154.5,NaN,413.4,29.9,14,413,0.09,1.7,1649.9,946.3,0
BARR_019,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.3,4.9,NaN,0,0.8,0.8,0,0.27,0,435,0.7,0.1,0.6,1,0,0,0,5,0.7,1.3,NaN,26.8,6,344.6,19.2,18,345,0.26,0.94,24.7,135.7,0
BARR_021,O,16.3,54.2,29.5,NaN,NaN,NaN,NaN,0,5.7,6.1,NaN,0,2.9,4.5,0,0.85,0,190.8,1.3,0.1,2.5,2.7,0,0,0,6.1,2.1,NaN,NaN,NaN,NaN,120.1,7.4,16,120,0.1,0.92,118.7,310.1,0
BARR_022,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0.5,2,0,0.34,0,1268.2,0.7,0.6,0.4,1.3,0,0,0,5,0.1,0.3,NaN,315.4,2,480.1,21.4,22,480,0.05,3.3,316.2,307.8,0
BARR_024,O,70.7,17.4,11.9,NaN,NaN,NaN,NaN,NaN,4.2,4.9,NaN,0,0.5,1.3,0,0.28,0,259.8,0.5,0,0.7,1.4,0,0,0,4.9,0.7,1.2,NaN,25.4,12,286.1,13.100000000000001,21.5,286,0.04,0.225,7.95,0,0.005
BARR_026,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,NaN,77.7,NaN,425.1,19.7,22,425,0.04,1.35,236.5,150.5,0.01
BARR_027,O,1.5,43.2,55.3,NaN,NaN,NaN,NaN,0,4.2,4.6,NaN,0,1.4,3.95,0,0.695,0,901.3000000000001,0.7,0.25,1.65,2.6,0,0.05,0,4.35,0.7000000000000001,1.3,NaN,133.2,8,298.4,12.850000000000001,21.5,298,0.095,1.9,136.15,333.65,0.035
BARR_028,O,47.6,39.8,12.6,NaN,NaN,NaN,NaN,NaN,4.6,5.1,NaN,0,1.5,0.8,0,0.35,0.1,135.8,1.1,0,1.1,1.1,0,0,0,5,0.6,0.3,NaN,17.7,11,85.8,5.3,16,86,0.08,0.58,24.7,0,0.01
BARR_031,O,48.9,29.6,21.5,NaN,NaN,NaN,10,0,7,7.6,NaN,0,2.8,1.6,0,0.56,0,225.7,3.2,0.1,2.1,1.1,0,0,0,7,0.5,0,NaN,580.1,NaN,219.5,13.9,14.5,219,0.065,1.305,1352.6000000000001,208.14999999999998,0.03
BARR_037,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.6,5.4,NaN,0,0.9,1.3,0,0.42,0.1,298.6,1.4,0.1,0.8,2.6,0,0,0,5.2,1.4,0.9,NaN,10.2,4,343.4,20,17,343,0.32,0.68,10.9,0,0.01
BARR_084,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.35,5.1,NaN,0,1,0.44999999999999996,0,0.275,0.05,335.75,1.35,0.15,0.7,0.8500000000000001,0,0.15000000000000002,0,5,0.8,1.3,NaN,49.35,5,319.8,18.75,17,319.5,0.24,1.255,59.5,38.3,0.015
BARR_085,O,31.5,47.1,21.4,NaN,NaN,NaN,NaN,0,4.45,5.1,NaN,0,1.2000000000000002,1.35,0,0.33999999999999997,0,200.05,0.8500000000000001,0.1,0.8999999999999999,1.05,0,0.05,0,5.05,0.9,1.15,NaN,24.85,6.5,174,10.95,16,174,0.16,1.48,24.450000000000003,35.949999999999996,0.02
BART_004,M,67.76666666666667,29.033333333333335,3.2,0.8533333333333334,0.92,36.7,NaN,NaN,3.8333333333333335,4.066666666666666,NaN,0,1.2,1,0,0.68,0,73.1,0,0.1,0.6,0,0,4.3,0,3.8,0,3.8666666666666667,NaN,0,88.33333333333333,31.5,1.3,22,31.333333333333332,0.49,0.36,3.466666666666667,30.599999999999998,0.09999999999999999
BART_004,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.9,3.5,NaN,0,1,0.8,0,0.63,0,295.5,0,0.1,0.3,0,0,1,0,3.4,1.2,4.5,NaN,1.8,21,485.9,15.4,32,486,0.13,0.07,13.5,66.2,0
BART_005,M,77.85,19.6,2.55,0.77,0.82,53.5,NaN,NaN,3.55,3.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.5,NaN,0.05,95.5,35.75,1.35,23,35.5,0.865,0.68,2,33.85,0.19
BART_005,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.6,3.4,NaN,0,0.1,0.8,0,0.45,0,287.2,0,0.1,0.2,0,0,0,0,3.2,0.9,5.8,NaN,1.2,38,453.9,17,27,454,0.13,0.07,9.2,77.8,0
BART_010,M,65.56666666666666,29.266666666666666,5.166666666666666,1.06,1.09,21.5,NaN,NaN,4.2,4.466666666666667,NaN,0,2.3,0.3,0,0.65,0,68.7,0,0.2,1.1,0,0,4.7,0,4.2,0,2.533333333333333,NaN,0.5,75,33.03333333333333,1.5666666666666667,19.666666666666668,33,0.8066666666666666,0.5633333333333334,29.366666666666667,55.86666666666667,0.22
BART_010,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.2,5.1,NaN,0,1.7,1.5,0,1.39,0,353.9,1.7,1.8,0.3,0,0,0,0,4.7,2.5,0.1,NaN,30.2,1,364.6,16.9,22,365,0.02,0.08,923.1,85.4,0
BART_011,M,55.43333333333333,42.03333333333333,2.533333333333333,0.8733333333333333,1.01,34.833333333333336,NaN,NaN,3.933333333333333,4.2,NaN,0,1,2.2,0,0.68,0,74.7,0,0.1,0.8,0.9,0,3,0,4,0,4,NaN,0.03333333333333333,NaN,37.46666666666667,1.5333333333333332,22.333333333333332,37.666666666666664,0.9566666666666667,0.5700000000000001,5.4,68.1,0.18666666666666668
BART_011,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3.1,3.9,NaN,0,0.9,1.7,0,0.69,0,437.8,0,0.4,0.2,0,0,0,0,3.7,1.3,1.6,NaN,5.4,8,462.7,18.7,25,463,0.08,0.06,30.6,117.4,0
BART_012,M,67.6,28.900000000000002,3.5,1.57,1.58,15.7,NaN,0,4.333333333333333,4.7,NaN,NaN,4.4,0.8,0,1.62,0.2,55.2,0,1.4,1.2,0,0,10.9,NaN,4.1,0.4,0.9333333333333333,NaN,1.4000000000000001,80,12.100000000000001,0.8,15,12.333333333333334,0.09,0.21333333333333335,128.13333333333333,71.13333333333334,0.0033333333333333335
BART_012,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,4.8,5.4,NaN,NaN,2.6,1.4,0,1.5,0.1,435.5,2.1,1.9,0.2,0,0,0,NaN,5.3,4.4,0.6,NaN,9.1,3,297.8,17.1,17,298,0.27,0.11,289.9,271.6,0.01
BART_013,M,56.5,39.9,3.6,1.03,1.07,25.7,NaN,NaN,3.5,3.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8,NaN,0,90,22.7,1.3,17,23,0.07,0.16,3.1,49.8,0
BART_013,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.3,4.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,NaN,2.3,30,300.1,11.7,26,300,0.19,0.29,37.2,159.3,0.01
BART_015,M,59.650000000000006,37.25,3.0999999999999996,0.9349999999999999,1.075,38.95,NaN,NaN,3.65,3.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6,NaN,0,NaN,49.199999999999996,1.85,22.5,49.5,1.05,0.595,11.450000000000001,46.4,0.205
BART_015,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.7,3.3,NaN,NaN,2.8,0.4,0,0.27,0,358.3,0,0.1,0,0,0,0,0,3.2,0.5,6.5,NaN,0.5,52,492.7,15,33,493,0.16,0.01,4.3,77.8,0
BART_018,M,61.8,35.05,3.1500000000000004,0.96,0.99,29.1,NaN,NaN,4.699999999999999,5.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,3.8,NaN,23.799999999999997,1.05,22.5,23.5,0.575,0.8,136.05,121.80000000000001,0.095
BART_018,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3.5,4.4,NaN,NaN,1.9,1.7,0,0.84,0,436.4,0,1.1,0.1,0,0,0,NaN,4.1,1.8,13.3,NaN,10.5,59,508.7,18,28,509,0.54,0.04,93.1,372.2,0
BART_019,M,65.25,32.85,1.9,1.11,1.16,21.7,NaN,NaN,3.95,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.1500000000000004,NaN,0,96,25,0.8,27.5,25,0.8150000000000001,0.31,4.35,94.8,0.195
BART_019,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.9,3.7,NaN,NaN,2.9,0.5,0,0.62,0.1,395.9,0,0.8,0.1,0,0,0.2,0.5,3.5,0.9,2.3,NaN,4.7,21,420.4,13.7,31,420,0.08,0.04,38.9,259.5,0
BART_023,M,68.69999999999999,28.1,3.2,NaN,NaN,NaN,NaN,NaN,3.75,4.05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5,NaN,0.1,97,47.7,1.85,24,47.5,0.775,0.535,3.25,16.4,0.155
BART_023,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3.1,4.2,NaN,NaN,2.7,0.6,0,0.58,0,434.7,0,0.6,0,0,0,0.1,NaN,3.7,1.4,10.9,NaN,4,48,489.7,19,26,490,0.32,0.11,29.9,103.7,0.01
BART_024,M,75.2,22.3,2.5,NaN,NaN,NaN,NaN,NaN,3.2,4.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1,NaN,0.1,79,17.1,0.8,21,17,0.03,0,1,0,0
BART_024,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,2.7,3.5,NaN,NaN,3,0.5,0,0.36,0.1,400.2,0,0.2,0,0,0,0,NaN,3.2,0.5,5.2,NaN,2.7,34,401.5,10.2,40,402,0.13,0.04,20.4,39.8,0
BART_027,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3,3.8,NaN,NaN,0.8,0.4,0,0.44,0,512.8,0,0.2,0.1,0,0,0,0,3.4,0.8,3.35,NaN,1.9,35,473.65,13.1,37.5,474,0.075,0.02,14.9,27.1,0
BART_030,M,72.8,25.5,1.7,NaN,NaN,NaN,NaN,NaN,3.5,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,0,NaN,5.8,0.3,19,6,0.02,0,1,0,0
BART_030,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3.1500000000000004,3.95,NaN,NaN,2.75,0.6000000000000001,0,0.585,0.1,435.4,0.35,0.55,0.1,0,0,0,0.2,3.65,1.05,3.4,NaN,15.25,20,520,18.25,28.5,520,0.11000000000000001,0.05,153.3,63.6,0
BART_062,M,74.2,22.2,3.6,NaN,NaN,NaN,NaN,NaN,3.8,4.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4,NaN,0.6,56,15.8,0.7,23,16,0.03,0.01,13.1,10.1,0
BART_062,O,77.8,16.6,5.6,NaN,NaN,NaN,NaN,0,4.1,4.9,NaN,NaN,2.1,0.8,0,1.06,0,210.7,1,1,0.1,0,0,0.1,NaN,4.7,3,0.6,NaN,10.8,9,154,8,19,154,0.07,0.24,501.3,134,0
BART_081,M,67.85,29.2,2.95,NaN,NaN,NaN,NaN,NaN,4.15,4.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3,NaN,0.025,NaN,23.95,0.775,29.25,24,0.5275,0.1925,3.15,75.225,0.14
BART_081,O,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,3.1,3.9,NaN,NaN,1.5,0.7,0,0.65,0,448.8,0,0.8,0.1,0,0,0,NaN,3.8,1.4,3.2,NaN,11.1,26,506.3,16.3,31,506,0.09,0.07,72.5,102.5,0
BLAN_001,M,40,42.099999999999994,17.9,1.415,1.4300000000000002,15.8,NaN,0,5.25,5.65,NaN,0,10.3,0.9,0,1.84,0,54.7,2.1,1.9,4.5,0.6,2.9,10.4,0,5.9,0.5,0.1,NaN,26.5,3,15,1.7000000000000002,8,15,0.15,0.22,1836.3000000000002,288.70000000000005,0.01
BLAN_002,M,15.2,59.9,24.9,1.385,1.4249999999999998,21.8,NaN,NaN,4.8,5.199999999999999,NaN,0,6.3,1.3,0,1.33,0,64.2,0.7,1.5,3.8,0.4,0.5,9,0,5.2,0.3,0.15000000000000002,NaN,20,2.5,15.4,1.9,7.5,15.5,0.065,0.12,388.25,106.55000000000001,0.015
BLAN_005,M,23.233333333333334,58.13333333333333,18.633333333333333,1.49,1.55,22.166666666666668,NaN,0,4.233333333333333,4.666666666666667,NaN,0,12.1,0.4,0,2.2,0.1,66.4,0.1,1.1,6.3,0.5,0,19.5,0,4.7,0.6,1.2333333333333334,NaN,42.300000000000004,42,11.433333333333334,1.2666666666666666,7.333333333333333,11.333333333333334,0.08666666666666667,0.21666666666666667,479.23333333333335,165.63333333333333,0.013333333333333334
BLAN_006,M,37.75,45.6,16.65,1.565,1.6,14.5,NaN,NaN,4.65,5.050000000000001,NaN,0,7.6,0.4,0,1.33,0,51.6,0,0.9,2,0.4,0.1,10.8,0,4.4,0.3,0.7,NaN,61.7,19,11.2,1.35,8,11.5,0.065,0.095,438.6,100.7,0.01
BLAN_008,M,30.049999999999997,44.3,25.65,1.56,1.625,13.9,NaN,NaN,4.65,5.05,NaN,0,6.6,0.3,0,1.24,0,52,0,0.4,2.3,0.4,0,10.4,0,4.4,0.1,1.4,NaN,154.1,29,12.55,1.35,9,13,0.18,0.37,3390.2,160.6,0.03
BLAN_010,M,55.65,30.95,13.4,1.3599999999999999,1.4249999999999998,16.25,NaN,NaN,4.65,5.050000000000001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4,NaN,28.1,19.5,7.9,1.2000000000000002,6,8,0.095,0.15000000000000002,892.05,261.4,0.005
BLAN_011,M,28.55,55.95,15.5,1.3399999999999999,1.38,26.200000000000003,NaN,0,4.95,5.25,NaN,0,9.2,0.3,0,1.63,0,61.4,0.7,0.8,5.2,0.3,1.7,11.7,0,5.3,0.5,0.4,NaN,45,15,13.399999999999999,1.4500000000000002,10,13.5,0.09,0.17,1135.75,255.5,0.01
